created,text,retweetCount
2017-06-29 05:56:30,"RT @GVLNRAO: My comment on TMC, others indulging in mudslinging on GST. Remember Mamata crying hoarse over demonetisation.... https://t.co/…",5
2017-06-29 05:55:03,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 05:54:59,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:53:26,Effects of Demonetisation https://t.co/I40ZhrGv0G,0
2017-06-29 05:52:48,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/KqOCdESRBV",12
2017-06-29 05:51:59,RT @digvijaya_28: They have done it again. First Demonetisation without printing of New Notes and now GST without Tax Returns for the Tax p…,146
2017-06-29 05:51:24,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:49:40,Kudos to media for scaring people at large on GST as they had done on DEMONETISATION.,0
2017-06-29 05:48:36,@AB_BJP @sanjaygadin1 @girishalva @shitijsrivastav @bhat_sadhana @kamesh_gadia @bhav2406 @PARVATHINP… https://t.co/O92OYdzetx,0
2017-06-29 05:48:31,"Economics of farmers. 

 https://t.co/cAo5vgeSee",0
2017-06-29 05:48:28,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:46:25,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
2017-06-29 05:46:02,".@Paytm, one of the post-demonetisation winners. https://t.co/ueeQBDuzOv #India #Modi https://t.co/sU5dycQmUT",0
2017-06-29 05:45:05,@ManishK_Chauhan @shaanhaider https://t.co/gthVCWKA9E against demonetisation as well. Freedom of speech yes yes,0
2017-06-29 05:41:57,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:37:58,RT @digvijaya_28: They have done it again. First Demonetisation without printing of New Notes and now GST without Tax Returns for the Tax p…,146
2017-06-29 05:37:54,"RT @BJPSamvadWB: Israeli Nobel laureates lauds Modi,Bangladesh Nobel winner praise #DeMonetisation ,exception WB's winner 
https://t.co/wk1…",1
2017-06-29 05:37:30,"@AshfaqTweets @KTRTRS @arunjaitley It was just Banks &amp; Cash issue. GST is complete tax revamp, it can be more fatal than demonetisation.",0
2017-06-29 05:35:38,"Israeli Nobel laureates lauds Modi,Bangladesh Nobel winner praise #DeMonetisation ,exception WB's winner… https://t.co/f7bgPclTqH",1
2017-06-29 05:32:03,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:31:49,"RT @arianindian: Very true,Sir! Prior to GST, demonetisation rattled Begum Mamata.",2
2017-06-29 05:31:16,RT @sanjayuvacha: But wasn't  #DeMonetisation about curbing stone throwing and terrorism? https://t.co/bdwNWBYtRo,15
2017-06-29 05:30:49,"RT @arianindian: Very true,Sir! Prior to GST, demonetisation rattled Begum Mamata.",2
2017-06-29 05:30:21,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 05:29:54,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:29:51,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:29:34,RT @SreenivasanJain: More on the cash crunch in Maharashtra Coop banks: @IndianExpress traces a precipitous drop in crop loans. https://t.c…,13
2017-06-29 05:28:56,RT @AbhijeetPatiil: Agriculture finance: When lending stops https://t.co/B91HONVr7j,1
2017-06-29 05:28:41,"RT @SiddharthAulia: Demonetisation was good, but failed due to poor Governance. Idea of #GST is good, but it is going to fail because of co…",21
2017-06-29 05:27:55,RT @KapilSibalteam: Modi's ‘claims tht demonetisation will eliminate both fake notes &amp; deal a fatal blow to terrorism hv turned out to be h…,29
2017-06-29 05:27:51,"RT @htTweets: Notebandi to bazarbandi - India’s cattle farmers stare at ruin https://t.co/Jb8yond2Vj

(report by @dhrubo127) 

#DeMonetisat…",17
2017-06-29 05:27:50,"RT @INCIndia: While Modi ji and BJP were busy spreading lies &amp; propaganda, Rahul Gandhi consistently brought out the facts on Demonetisatio…",582
2017-06-29 05:27:26,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:26:20,RT @SitaramYechury: @Mint_Opinion The poor &amp; deprived are most hit by BJP govt's ill-thought out policies like demonetisation. The promise…,13
2017-06-29 05:26:01,RT @digvijaya_28: They have done it again. First Demonetisation without printing of New Notes and now GST without Tax Returns for the Tax p…,146
2017-06-29 05:24:39,"New ₹ 200 notes coming soon in market..

Please don't spread rumours of demonetisation now.",0
2017-06-29 05:24:35,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:24:30,RT @sanjayuvacha: Didn't you get the GPS chip #DeMonetisation award? https://t.co/avo9sms7tU,146
2017-06-29 05:23:45,"RT @KBByju: A rerun of the argument govt gave after #demonetisation.Their solution to GST woes is,""You'll get used to the pain!"" https://t.…",13
